SName,Lyric,Artist,Songs,Popularity,Genre,Genres
A Volta,"Eu tive que dar um tempo. E me olhar por dentro para refletir. Entrar numa grande viagem. E criar coragem pra me decidir. As coisas lindas do passado. Que vivemos juntos. Não deu pra esquecer. Senti saudades do meu povo. E voltei de novo pro Katinguelê. Senti saudades do meu povo. E voltei de novo pro Katinguelê. (REFRÃO). Voltei pra ficar. Voltei pra cantar coisas do coração. E mais uma vez. Ouvindo vocês cantando o refrão. Voltei pra ficar. Voltei pra cantar os sentimentos meus. Seja como for. Tenho fé no amor. Tenho fé em Deus. As coisas lindas do passado. Que vivemos juntos. Não deu pra esquecer. Senti saudades do meu povo. E voltei de novo pro Katinguelê. Senti saudades do meu povo. E voltei de novo pro Katinguelê. (REFRÃO). Voltei pra ficar. Voltei pra cantar coisas do coração. E mais uma vez. Ouvindo vocês cantando o refrão. Voltei pra ficar. Voltei pra cantar os sentimentos meus. Seja como for. Tenho fé no amor. Tenho fé em Deus. Lua vai iluminar.... Inara, Inara, Inara, Inaraí.... Tenho fé no amor. Tenho fé em Deus. BY: Deninha",Katinguelê,137,1.7,Samba,Samba; Pagode; Romântico; Instrumental; Chillout; MPB; Black Music
Toda Palavra,Toda palavra é uma semente jogada no chão do coração. Cabe ao cristão com muito amor. Cuidar dessa planta que os frutos virão (virão) !. Palavras que trazem mensagens. De alguém que se deu por nós. Que as vezes nos fazem tremer. Por não as querermos viver. Toda palavra é uma semente jogada no chão do coração. Cabe ao cristão com muito amor. Cuidar dessa planta que os frutos virão (virão) !. Palavras bem escondidas e preparadas com amor. Em fim nos falam de vida que é o próprio senhor. Toda palavra é uma semente jogada no chão do coração. Cabe ao cristão com muito amor. Cuidar dessa planta que os frutos virão (virão) !,Reinaldo,93,2.5,Samba,Samba; Pagode; Romântico; Black Music; Gospel/Religioso; Axé
Malvina,"Malvina, você não vai me abandonar,. Não pode, sem você como é que eu vou ficar.. Malvina, você não vai me abandonar,. Não pode, sem você como é que eu vou ficar.. Tá fazendo mais de dez anos. Que nóis estemos juntos. E daqui você não sai. Minha vida sem você não vai. Minha vida sem você não vai",Adoniran Barbosa,104,1.7,Samba,Samba; MPB; Bossa Nova; Hip Hop; Trip-Hop; Funk Carioca; Instrumental; Gospel/Religioso; Funk; Pop; Axé; Pop/Rock
Gente Humilde,Tem certos dias. Em que eu penso em minha gente. E sinto assim. Todo o meu peito se apertar. Porque parece. Que acontece de repente. Como um desejo de eu viver. Sem me notar. Igual a tudo. Quando eu passo no subúrbio. Eu muito bem. Vindo de trem de algum lugar. E aí me dá. Como uma inveja dessa gente. Que vai em frente. Sem nem ter com quem contar. São casas simples. Com cadeiras na calçada. E na fachada. Escrito em cima que é um lar. Pela varanda. Flores tristes e baldias. Como a alegria. Que não tem onde encostar. E aí me dá uma tristeza. No meu peito. Feito um despeito. De eu não ter como lutar. E eu que não creio. Peço a Deus por minha gente. É gente humilde. Que vontade de chorar. . by yuri comigo,Luiz Melodia,155,1,Samba,MPB; Samba; Romântico; Blues; Bossa Nova; Rock
Tempo de Partir,"É tempo agora de partir, de ir embora. e procurar noutras manhãs a minha aurora.(2X). Quando olhei ao meu lado e notei so tristeza. olhei nos teus olhos e veio a certeza,. era o tempo chegado da gente mudar (2X). Quando me veio a certeza, larguei da esperança,. olhei nos teus olhos, guardei na lembrança,. era tempo de luta e não de esperar (2). E soube então pelos teus olhos. o quanto havia pra buscar.. E é preciso a gente andar pra se encontrar.. Quando olhei ao meu lado...",Clara Nunes,201,3.6,Samba,Samba; MPB; Velha Guarda; Samba Enredo; Romântico; Axé; Forró; Pagode; Bossa Nova; Hard Rock; Clássico; Jovem Guarda; Trilha Sonora; Regional; Chillout; Disco; Pop; Dance; Rap; Folk; Sertanejo; World Music; Surf Music; J-Pop/J-Rock; Black Music; Heavy Metal; Blues; Gospel/Religioso; Gótico
Ninho de Paz,Vou falar. Pra ser feliz no amor. A gente precisa mudar. Rever tudo que se passou. E sempre aprender respeitar. Senão perde logo o sabor. Ai não consegue sonhar. Quero sim. Com você uma intensa paixão. Sem hora nem mesmo lugar. E fugir da razão. Fazer nosso ninho de paz. Viver bem distante da dor. Pra fortalecer nosso amor. Cada vez mais. Lalaiá. Sabe que esse amor. É de enlouquecer. Tem um algo mais. Eu acho que é um que. Não da pra controlar. Quando a gente se vê. O circo pega fogo. Mistura de desejo com prazer. Vou juntinho com você. É desejo com prazer. Vou juntinho com você,Jeito Moleque,99,5,Samba,Romântico; Pagode; Samba; Trilha Sonora; Funk Carioca; Disco; Axé; Progressivo; Soul Music; Trance; Grunge; Sertanejo; Hip Hop; Funk
O Dono do Morro,"A firma quebrou a chapa tá quente,. tu fecha com a gente, tu da o papo logo pra. desenrola.. O dono do morro bolado já estava ligado. que o cara amarrado ia viaja pra não voltar.. Geral foi cercando e o malandro aterrorizando. Até que ele disse chorando eu posso explica. {não}. A casa caiu a bala cantou e mais um corpo foi largado. na esquina.. Me disseram que hoje esse cara tirou a inocência de. uma menina.. É a mãe descobriu que bonde formou e apagaram o. malandro da lista.. Amanhã de manhã vai esta na tv nos jornais e também. nas revistas.. Olho pro céu e peço a Deus que mande a paz. e os sentimento verdadeiro dos mortais.. Aqui embaixo o pesadelo está, DEMAIS DEMAIS. DEMAIS DEMAIS DEMAIS .........",Mumuzinho,71,4.3,Samba,Pagode; Romântico; Samba; MPB; Sertanejo; Gospel/Religioso; Black Music; Grunge; Piano Rock; Reggae; Country; Bossa Nova; Axé
Ordem E Progresso,Esse é o nosso país. Essa é a nossa bandeira. É por amor a essa pátria Brasil. Que a gente segue em fileira. Queremos que abrace essa terra. Por ela quem sente paixão. Quem põe com carinho a semente. Pra alimentar a nação. Quem põe com carinho a semente. Pra alimentar a nação. Amarelos são os campos floridos. As faces agora rosadas. Se o branco da paz se irradia. Vitória das mãos calejadas. Se o branco da paz se irradia. Vitória das mãos calejadas. Esse é o nosso país.... Queremos mais felicidades. No céu deste olhar cor de anil. No verde esperança sem fogo. Bandeira que o povo assumiu. No verde esperança sem fogo. Bandeira que o povo assumiu. A ordem é ninguém passar fome. Progresso é o povo feliz. A Reforma Agrária é a volta. Do agricultor à raiz. A Reforma Agrária é a volta. Do agrilcultor à raiz. Esse é o nosso país...,Beth Carvalho,250,2.6,Samba,Samba; MPB; Pagode; Bossa Nova; Romântico; Axé; Black Music; Folk; Funk; Dance; Forró
Jacaré Sumiu,Jacaré sumiu. Do pantanal sumiu. Jacaré sumiu. Do pantanal sumiu. Virou couro de sapato. E foi pra fora do Brasil. Virou couro de sapato. E foi pra fora do Brasil. Jacaré sumiu. Jacaré sumiu. Do pantanal sumiu. Jacaré sumiu. Do pantanal sumiu. Virou couro de sapato. E foi pra fora do Brasil. Virou couro de sapato. E foi pra fora do Brasil. Jacaré sumiu. Me desculpe madame. PErdoe o vexame. Mas ouça o que eu vou falar. Sua Bolsa importada não está com nada. esta sopa vai se acabar. E partiu levando a ginga do samba. É muamba. Uma nega que vem lá de Luanda. É muamba. Partideiro que versa comigo. e não fica indeciso é bamba. Partideiro que versa comigo. E não fica indeciso é bamba. Jacaré sumiu. Do pantanal sumiu. Jacaré sumiu. Do pantanal sumiu. Virou couro de sapato. E foi pra fora do Brasil. Virou couro de sapato. E foi pra fora do Brasil. Jacaré sumiu. Jacaré sumiu. Do pantanal sumiu. Jacaré sumiu. Do pantanal sumiu. Virou couro de sapato. E foi pra fora do Brasil. Virou couro de sapato. E foi pra fora do Brasil. Jacaré sumiu. A ganancia do homem consome o direito de sobreviver. Porque mesmo não tendo fome. A sua vaidade é quem lhe dá prazer. Quem comeu bebeu não pode pagar. Pindura. Na igreja quem pretende gastar. Faz jura. Mas quem toma copo d'água. Sorrindo é dentadura. MAs quem toma copo d'agua. Sorrindo é dentadura. jacaré sumiu. Jacaré sumiu. Do pantanal sumiu. Jacaré sumiu. Do pantanal sumiu. Virou couro de sapato. E foi pra fora do Brasil. Virou couro de sapato. E foi pra fora do Brasil. Jacaré sumiu. Jacaré sumiu. Do pantanal sumiu. Jacaré sumiu. Do pantanal sumiu. Virou couro de sapato. E foi pra fora do Brasil. Virou couro de sapato. E foi pra fora do Brasil. Jacaré sumiu,Alcione,374,5.1,Samba,Samba; Romântico; MPB; Pagode; Axé; Bossa Nova; Forró; Velha Guarda; Samba Enredo; Disco; Pop; Piano Rock; Trilha Sonora; Heavy Metal; Electronica; Black Music; Sertanejo; Jovem Guarda; Gospel/Religioso; Blues; Infantil; Hip Hop
Nani,"Quantas vezes Nani. Tantas vezes Nani. Eu te desenhei, num papel de pão. Tempestade clara. Sol do meu Saara. Eu te bronzeei, sem você notar. Quantas vezes Nani. Tantas vezes Nani. Eu te procurei, sem te encontrar. Numa tarde clara. Ou de madrugada. Vejo amanhecer, sem você chegar. Ah, foi bom te reencontrar. Saber que está feliz, linda e feliz. Ah, foi bom que me abraçou. Mas sinto que o nosso amor, já se acabou. Nani, Nani, Nani. Apenas mais uma",Art Popular,184,3.2,Samba,Pagode; Samba; Romântico; Dance; Pop; Hip Hop; Power-Pop; Hard Rock; Bossa Nova; Rap; Trilha Sonora; Sertanejo
