SName,Lyric,Artist,Songs,Popularity,Genre,Genres
Prá Que Chorar,"Quando eu parti, você chorou, chorei também. Quando eu parti, você chorou, chorei também. Prá que meu bem, prá que chorar?. Se a semana que vem. Eu volto prá lhe buscar.. Quando eu parti, você chorou, chorei também. Quando eu parti, você chorou, chorei também. Prá que meu bem, prá que chorar?. Se a semana que vem. Eu volto prá lhe buscar.. Quando eu parti, você chorou, chorei também. Quando eu parti, você chorou, chorei também. Prá que meu bem, prá que chorar?. Se a semana que vem. Eu volto para lhe buscar.. Quando eu parti, você chorou, chorei também. Quando eu parti, você chorou, chorei também. Lá, lá, lá, lá, lá, lá, lá, lá, lá, lá, lá, lá",Adoniran Barbosa,104,1.7,Samba,Samba; MPB; Bossa Nova; Hip Hop; Trip-Hop; Funk Carioca; Instrumental; Gospel/Religioso; Funk; Pop; Axé; Pop/Rock
Samba do Arnesto,"O Arnesto nos convidou pra um samba, ele mora no Brás. Nós fumos não encontremos ninguém. Nós voltermos com uma baita de uma reiva. Da outra vez nós num vai mais. Nós não semos tatu! (2x). No outro dia encontremo com o Arnesto. Que pediu desculpas mais nós não aceitemos. Isso não se faz, Arnesto, nós não se importa. Mas você devia ter ponhado um recado na porta. O Arnesto nos convidou pra um samba, ele mora no Brás. Nós fumos não encontremos ninguém. Nós voltermos com uma baita de uma reiva. Da outra vez nós num vai mais. No outro dia encontremo com o Arnesto. Que pediu desculpas mais nós não aceitemos. Isso não se faz, Arnesto, nós não se importa. Mas você devia ter ponhado um recado na porta. Um recado assim ói: ""Ói, turma, num deu pra esperá. Aduvido que isso, num faz mar, num tem importância,. Assinado em cruz porque não sei escrever"". Arnesto",Adoniran Barbosa,104,1.7,Samba,Samba; MPB; Bossa Nova; Hip Hop; Trip-Hop; Funk Carioca; Instrumental; Gospel/Religioso; Funk; Pop; Axé; Pop/Rock
Iracema,"Iracema, eu nunca mais eu te vi. Iracema meu grande amor foi embora. Chorei, eu chorei de dor porque. Iracema, meu grande amor foi você. Iracema, eu sempre dizia. Cuidado ao travessar essas ruas. Eu falava, mas você não me escutava não. Iracema você travessou contra mão. E hoje ela vive lá no céu. E ela vive bem juntinho de nosso Senhor. De lembranças guardo somente suas meias e seus. sapatos. Iracema, eu perdi o seu retrato.. - Iracema, fartavam vinte dias pra o nosso casamento. Que nóis ia se casar. Você atravessou a São João. Veio um carro, te pega e te pincha no chão. Você foi para Assistência, Iracema. O chofer não teve curpa, Iracema. Paciência, Iracema, paciência. E hoje ela vive lá no céu. E ela vive bem juntinho de nosso Senhor. De lembranças guardo somente suas meias e seus. sapatos. Iracema, eu perdi o seu retrato",Adoniran Barbosa,104,1.7,Samba,Samba; MPB; Bossa Nova; Hip Hop; Trip-Hop; Funk Carioca; Instrumental; Gospel/Religioso; Funk; Pop; Axé; Pop/Rock
Praça da Sé,"Praça da Sé. Praça da Sé. Hoje você é. Madame estação Sé. Quem te conheceu. A alguns anos atrás. Como eu te conheci. Não te conhece mais. Nem vai conseguir. Te reconhecer. Se hoje passar por aqui. Alguém que já faz. Algum tempo que não te vê. Pouca coisa tem que contar. Pouca coisa tem que dizer. Vai pensar que está sonhando. É natural. Nunca viu coisa igual. Da nossa Praça da Sé de outrora. Quase que não tem mais nada. Nem o relógio que marcava as horas. Pros namorados. Encontrar com as namoradas. Nem o velho bonde. Dindindindindindin. Nem o condutor. Dois pra light e um pra mim. Nem o jornaleiro. Provocando o motorneiro. Nem o engraxate. Jogando caixeta o dia inteiro. Era uma gostosura. Ver o camelô. Correr do fiscal da prefeitura. É o progresso. É o progresso. Mudou tudo. Mudou até o clima. Você está bonita por baixo. Tá bonita por cima. Só indo lá pra ver. Mas não vá sozinho, meu senhor. Que o senhor vai se perder. Praça da Sé. Praça da Sé. Hoje você é. Madame estação Sé",Adoniran Barbosa,104,1.7,Samba,Samba; MPB; Bossa Nova; Hip Hop; Trip-Hop; Funk Carioca; Instrumental; Gospel/Religioso; Funk; Pop; Axé; Pop/Rock
"Apaga o Fogo, Mané","Inez saiu dizendo que ia comprar um pavio. pro lampião. Pode me esperar Mané. Que eu já volto já. Acendi o fogão, botei a água pra esquentar. E fui pro portão. Só pra ver Inez chegar. Anoiteceu e ela não voltou. Fui pra rua feito louco. Pra saber o que aconteceu. Procurei na Central. Procurei no Hospital e no xadrez. Andei a cidade inteira. E não encontrei Inez. Voltei pra casa triste demais. O que Inez me fez não se faz. no chão bem perto do fogão. Encontrei um papel. Dm. Escrito assim:. -Pode apagar o fogo Mané que eu não volto mais",Adoniran Barbosa,104,1.7,Samba,Samba; MPB; Bossa Nova; Hip Hop; Trip-Hop; Funk Carioca; Instrumental; Gospel/Religioso; Funk; Pop; Axé; Pop/Rock
Eternidade,"Se eu pudesse definir. Detalhar sem me iludir. O olhar que me seguia. Sutilmente me traía. Se eu pudesse até mentir. Esquecer, talvez fingir. Certamente eu mudaria. Hoje eu não sofreria. Foi o tempo que passou. Me usou, envelheci. Mesmo assim ainda me lembro. Do corpo que me tocou. Tão presente a sensação. Do amor que eu senti. Se era Agosto ou Setembro. Realmente eu não me lembro. Foi um sonho transparente. Tantas vezes re-sonhado,. Foi mentira ou verdade.... Hoje vive a eternidade",Adoniran Barbosa,104,1.7,Samba,Samba; MPB; Bossa Nova; Hip Hop; Trip-Hop; Funk Carioca; Instrumental; Gospel/Religioso; Funk; Pop; Axé; Pop/Rock
Saudosa Maloca,"Si o senhor não está lembrado. Dá licença de contá. Que aqui onde agora está. Esse edifício arto. Era uma casa velha. Um palacete assobradado. Foi aqui seu moço. Que eu, Mato Grosso e o Joca. Construímos nossa maloca. Mais, um dia. Nós nem pode se alembrar. Veio os homi cas ferramenta. Que o dono mandô derrubá. Peguemo todas nossas coisa. E fumos pro meio da rua. Apreciar a demolição. Que tristeza que nós sentia. Cada táuba que caía. Doía no coração. Mato Grosso quis gritá. Mas em cima eu falei:. Os homi tá cá razão. Nós arranja outro lugar. Só se conformemo quando o Joca falou:. ""Deus dá o frio conforme o cobertor"". E hoje nóis pega a páia nas grama do jardim. E prá esquecê nóis cantemos assim:. Saudosa maloca, maloca querida,. Que dim donde nóis passemos dias feliz de nossa vida",Adoniran Barbosa,104,1.7,Samba,Samba; MPB; Bossa Nova; Hip Hop; Trip-Hop; Funk Carioca; Instrumental; Gospel/Religioso; Funk; Pop; Axé; Pop/Rock
Chora Na Rampa,Chora na rampa negão. Chora na rampa. Chora que etus olhos se destampa. Ó Florisvarda. Eu chorei na tua campa. Chora negão na rampa. Ó Esmerarda. A chaleira está sem tampa. Chora negão na rampa. Ó Ermengarda. Tás bebendo minha úca às pampa. Chora negão na rampa. Tô sem bufunfa. Prá pagar a luz da lampa. Chora negão na rampa,Adoniran Barbosa,104,1.7,Samba,Samba; MPB; Bossa Nova; Hip Hop; Trip-Hop; Funk Carioca; Instrumental; Gospel/Religioso; Funk; Pop; Axé; Pop/Rock
Joga A Chave,Não perturbo mais teu sono. Chego a meia noite sim. Ou então a qualquer hora. Joga a chave meu bem. Aqui fora tá ruim demais. Cheguei tarde perturbei teu sono. Amanhã eu não perturbo mais. Joga a chave meu bem. Aqui fora tá ruim demais. Cheguei tarde perturbei teu sono. Amanhã eu não perturbo mais. Faço um furo na porta. Amarro um cordão no trinco. Pra abrir pro lado de fora. Não perturbo mais teu sono. Chego à meia-noite sim. Ou então à qualquer hora. . Joga a chave meu bem. Aqui fora tá ruim demais. Cheguei tarde perturbei teu sono. Amanhã eu não perturbo mais,Adoniran Barbosa,104,1.7,Samba,Samba; MPB; Bossa Nova; Hip Hop; Trip-Hop; Funk Carioca; Instrumental; Gospel/Religioso; Funk; Pop; Axé; Pop/Rock
Leiteratura,"Se eu sêsse uma braboleta dourada. Das asa azul da cor do algodão - de papel. Subia numa lâmpida acendida. Só pra mostrar que sei. Batê na caixa de fósfiros. Olávius biláquius foi o inventador. Do avião - de papel. Subiu, subiu, subiu. Deu uma vorta na torre eufel. Depois desceu, desceu, desceu. Bateu com a cabeça na pedra e morreu. ""olha o breque"":. Orora siscreve com ""erre"" de craudionor ""!",Adoniran Barbosa,104,1.7,Samba,Samba; MPB; Bossa Nova; Hip Hop; Trip-Hop; Funk Carioca; Instrumental; Gospel/Religioso; Funk; Pop; Axé; Pop/Rock
